Codigo,Descripcion,presentacion,Rubro,Observaciones,Numero_Ingredientes,Cancer.Risk,Development.Risk,Allergies.Risk,Endocryne.Risk,Prohibited.Risk,Env.Risk,Total.Risk,HPC.score,norm.Cancer.Risk,norm.Development.Risk,norm.Allergies.Risk,norm.Endocryne.Risk,norm.Prohibited.Risk,norm.Env.Risk,norm.Total.Risk,norm.HPC.score,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62
77963,Cepage FILTRES Fluide Color 50+,50ml,Cuidado Personal; Cuidado Corporal;Protectores Solares,,34,11.4705882352941,3.55882352941176,14.0588235294118,3.82352941176471,3.05882352941176,17.4705882352941,43.1176470588235,43.1176470588235,4.25313945803039,2.88095238095238,3.32028165170617,2.91795665634675,0.977892203503667,4.15436493068564,3.29149821918998,3.29149821918998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78964,Chamaleon Protetor Solar Mineral Vegano em Bastão FPS 50,50gr,Cuidado Personal; Cuidado Corporal;Protectores Solares,,7,3.42857142857143,1,2,0,1.85714285714286,1.28571428571429,6.48571428571429,6.48571428571428,1.27126805778491,0.80952380952381,0.47234132283686,0,0.593720266412942,0.305732484076434,0.49510394183801,0.495103941838009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77965,ACF protector solar dadatina,50gr,Cuidado Personal; Cuidado Corporal;Protectores Solares,,41,10.5121951219512,7.02439024390244,14.3414634146341,1.90243902439024,6,23.6585365853659,53.9780487804878,53.9780487804878,3.89778021375718,5.68641114982579,3.38703290034235,1.45186136071887,1.91817316841104,5.62580912433328,4.12055535391205,4.12055535391205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77966,ISDIN FUSIÓN WATER,50ml,Cuidado Personal; Cuidado Corporal;Protectores Solares,,28,7,5.28571428571429,11.9285714285714,1.71428571428571,12.4285714285714,15.8928571428571,47.95,47.95,2.59550561797753,4.27891156462586,2.8171786040627,1.30827067669173,3.97335870599429,3.77919320594478,3.66038850391912,3.66038850391912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77967,NATURA Loción Protectora Spray FPS 30,30ml,Cuidado Personal; Cuidado Corporal;Protectores Solares,,34,10.3823529411765,5.35294117647059,15.4705882352941,6.55882352941176,5.73529411764706,13,47.1558823529412,47.1558823529412,3.84963648380701,4.33333333333334,3.65369905606159,5.00541795665634,1.83354788156938,3.09129511677282,3.5997674589545,3.5997674589545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77968,NATURAL FRO PROTECTOR SOLAR FPS 30,100ml,Cuidado Personal; Cuidado Corporal;Protectores Solares,,5,0,1,1,0,1,1,4,4,0,0.80952380952381,0.23617066141843,0,0.319695528068507,0.237791932059448,0.305350448710667,0.305350448710667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77969,Vichy CAPITAL SOLEIL Multi-Protection Milk SPF 50,100ml,Cuidado Personal; Cuidado Corporal;Protectores Solares,,37,7.48648648648649,7.35135135135135,11.6891891891892,4.75675675675676,6.21621621621622,16.1621621621622,46.9243243243243,46.9243243243243,2.77588824779836,5.95109395109395,2.76064354225598,3.63015647226174,1.98729652583126,3.84323176679865,3.58209087196932,3.58209087196932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77970,Eucerin Sun Gel-Crema Oil Control Toque Seco FPS 50+,,Cuidado Personal; Cuidado Corporal;Protectores Solares,,30,4.9,3.56666666666667,5.56666666666667,3.26666666666667,6.23333333333333,9.46666666666667,28.59,28.59,1.81685393258427,2.88730158730159,1.3146833485626,2.49298245614035,1.99276879162703,2.25109695682944,2.18249233215949,2.18249233215949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77971,DERMAGLOS PROTECTOR SOLAR con FPS 50,250ml,Cuidado Personal; Cuidado Corporal;Protectores Solares,,24,6.83333333333333,5.58333333333333,14.25,7.04166666666667,7.625,7.375,42.5583333333333,42.5583333333333,2.53370786516854,4.51984126984127,3.36543192521263,5.37390350877193,2.43767840152237,1.75371549893843,3.24880154492786,3.24880154492786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77972,LA ROCHE POSAY HYDRAPHASE INTENSE UV LIGERA,50ml,Cuidado Personal; Cuidado Corporal;Protectores Solares,,33,3.45454545454545,5.18181818181818,12.4090909090909,1.63636363636364,12.030303030303,11.7575757575758,43.3606060606061,43.3606060606061,1.28089887640449,4.19480519480519,2.93066320760143,1.2488038277512,3.84603408009688,2.79585665572927,3.31004512924313,3.31004512924313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
