"name","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Cetaphil - Loção Hidratante P Pele Normal A Seca","7897930762060",5.4375,0,0.9375,0,5.125,5.375,8.9453125
"Ureadin 20% Creme","7896422506564",0.26666668,0.05333334,0.6666667,1.2,3.3333335,3.6,9.392
"Vichy Mineral 89 Serum","3337875594516",5.3333335,0.23333335,1.5555556,0,2,1.3333334,8.838272
"Profuse Hidradeep Daily","7896658033384",2.6190479,0.085714296,0.71428573,0.2857143,3.4285715,3.0952382,9.512925
"Protetor Labial Nivea Lip Care Med Protection","4005808369621",9.200001,0.35,4.2666664,3.5,7.5666666,2.3333333,9.092778
"Crema cara y cuerpo Aloe Vera 84% Jason","78522040026",8.742308,0,0.84615386,0,7.692308,3.2307694,9.211095
"UMANE CREMA","310",2.6363637,0,1.0909091,0,3.1818185,0.27272728,9.347107
"La Roche Posay Effaclar Mat hidrarante","3337872413025",7.8043475,0.026086956,2,0.26086956,11.304348,4.4347825,8.876938
"The Chemist Look Hidratante Piel Mixta","342",2.1785712,0.23928571,1,1.8571428,7.7857146,3.6785717,9.402168
"Nivea Loción Corporal Vainilla y Aceite de Almendras","4005900399946",6.1944447,0.033333335,0.7222222,0,5.6111116,2.5555556,9.160185
"Goicochea Diabet TX Crema Hidratante Pies, Codos y Manos","7798140251910",8.793104,0.39655173,1.5862069,3.448276,6.2758617,4.0689654,9.152794
"Sos Natural Crema Hidratante Corporal","NOREG7",0.42857146,0,0,0,0.85714287,0.2857143,9.77551
"Garnier Aceite de Noche Multi-Reparador Aceite de Semillas de Cannabis Sativa (Cáñamo)","404",1.7,0,0,0,2.8000002,3.8666666,9.442223
"Weleda Leche corporal Onagra","4001638086615",8.305555,0,0,0,3.0555556,4.611111,9.112655
"Nivea Body Milk Soft","4005808321216",8.026316,0.18947369,0.6315789,0.5263158,6.8947372,2.7894738,8.996953
"Nivea Milk Nutritiva","4005808315093",7.58,0.030000001,0,0,1.3499999,7.4999995,9.177
