"name","numero_ingredientes","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Aurill Protector no graso",16,"7795399021554",12.83077,0.07692309,0,0.30769232,6.769232,6.3076925,-0.45498085
"Nivea ROSE CARE CREMA HIDRATANTE FACIAL EN GEL",32,"4005900806154",7.06,0.0033333336,0.96666664,0.06666667,4.866667,7.133333,2.0086808
"L oreal Agua Micelar Acido Hialuronico",9,"7509552843705",1.5714285,0.17142859,0,0.5714286,2.857143,0.85714287,7.6027746
"BASSA & BATH TÓNICO HIDRATANTE FACIAL",16,"7791122",0.8928572,0.11428572,0,2.5714288,2.5714285,1.8571428,6.8160076
"NOUGAT TINTURA",13,"7791442000620",6.25,0.06666667,2,0.6666667,0.33333334,2,5.499995
"Bufala crema de peinar",13,"790757848016",0.022222223,0,0,0,0.5555556,0.8888889,9.416789
"Colibria contorno de ojos",5,"7791125",0.33333334,0,2,0,0.6666667,0,8.807068
"Cielo color colorante capilar",6,"7791126",4.125,0,0,1.5,0,1.5,7.166786
"Esterocolor funky colors coloracion semi permanente",10,"7791127",7.5,0.26250002,0,0,0.5,3.125,5.471829
"Acf by dadatina gel de limpieza",13,"7791128",5.6363645,0,0,0,3.2727273,5.2727275,4.3606844
"Acf By dadatina Máscara Hidratante",20,"7791129",2.6666665,0,0.6111111,0,5.0000005,1.8333333,5.9793773
"Acf By dadatina crema Defensa AM/PM",25,"7791130",3.909091,0.2818182,2.8181818,1.8181819,12.590909,4.9545455,-0.48695755
"Olay Cleanse Micellar Water",17,"7791132",2.7333336,0,0,0,1.7333333,2.6666667,7.163472
"VESPERO COCO SHAMPOO",9,"7791133",3.2857144,0.014285715,1.7142857,0,1.7142857,1.857143,6.5859423
"VESPERO COCO ACONDICIONADOR",11,"7791134",6.5,0.022222223,0,0,5.3333335,3.4444447,3.9160457
"ERDE serum facial hialuronico",12,"7791135",1.625,0,0,0,0.75,0.625,8.807068
"Aveno jabon corporal humectante",20,"7791137",2.9411764,0.064705886,1.2352942,0.1764706,1.2352942,1.882353,7.0036354
"Livre skincare crema facial",10,"7791138",1.75,0.1375,0,0,1.125,1,8.404453
"Livre skincare Serum acido hialuronico",12,"7791139",4.777778,0.12222222,0,0,1,0.44444445,7.477169
"Livre skincare gel de limpieza facial",8,"7791140",3,0.18333334,0,0,1.5,0,8.1377
"Bennie serum aumentador y reafirmante de lolas",13,"7791141",3.85,0,0,0,0.3,1.2,7.8726044
